"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clear",10000,-16.38,-16.38,-14.47,1033,32,2.31,310,"2023-01-24 21:00:00","Winter"
"Seoul","Clear",10000,-14.73,-14.73,-13.42,1034,28,1.71,302,"2023-01-25 00:00:00","Winter"
"Seoul","Clear",10000,-9.84,-9.84,-9.84,1033,17,1.66,325,"2023-01-25 03:00:00","Winter"
"Seoul","Clear",10000,-7.17,-7.17,-7.17,1030,17,2.09,302,"2023-01-25 06:00:00","Winter"
"Seoul","Clear",10000,-6.89,-6.89,-6.89,1029,26,0.96,315,"2023-01-25 09:00:00","Winter"
"Seoul","Clear",10000,-6.68,-6.68,-6.68,1028,30,1.33,146,"2023-01-25 12:00:00","Winter"
"Seoul","Clouds",10000,-6.47,-6.47,-6.47,1028,39,0.83,140,"2023-01-25 15:00:00","Winter"
"Seoul","Clouds",10000,-6.39,-6.39,-6.39,1027,43,1.43,118,"2023-01-25 18:00:00","Winter"
"Seoul","Clouds",10000,-6.42,-6.42,-6.42,1026,52,1.57,78,"2023-01-25 21:00:00","Winter"
"Seoul","Clouds",10000,-6.2,-6.2,-6.2,1026,73,1.55,77,"2023-01-26 00:00:00","Winter"
"Seoul","Snow",4642,-4.5,-4.5,-4.5,1026,82,1.46,91,"2023-01-26 03:00:00","Winter"
"Seoul","Clouds",10000,-1.66,-1.66,-1.66,1024,67,0.06,356,"2023-01-26 06:00:00","Winter"
"Seoul","Clouds",10000,-2.09,-2.09,-2.09,1024,69,0.25,140,"2023-01-26 09:00:00","Winter"
"Seoul","Clouds",10000,-2.44,-2.44,-2.44,1024,72,0.2,329,"2023-01-26 12:00:00","Winter"
"Seoul","Clouds",10000,-2.87,-2.87,-2.87,1024,78,0.95,313,"2023-01-26 15:00:00","Winter"
"Seoul","Clouds",10000,-3.69,-3.69,-3.69,1023,84,2.56,309,"2023-01-26 18:00:00","Winter"
"Seoul","Clouds",10000,-5.75,-5.75,-5.75,1023,57,3.67,302,"2023-01-26 21:00:00","Winter"
"Seoul","Clouds",10000,-6.59,-6.59,-6.59,1023,47,4.44,303,"2023-01-27 00:00:00","Winter"
"Seoul","Clear",10000,-5.32,-5.32,-5.32,1023,29,6.64,301,"2023-01-27 03:00:00","Winter"
"Seoul","Clear",10000,-4.76,-4.76,-4.76,1022,28,7.75,304,"2023-01-27 06:00:00","Winter"
"Seoul","Clear",10000,-6.68,-6.68,-6.68,1023,37,6.97,313,"2023-01-27 09:00:00","Winter"
"Seoul","Clear",10000,-7.81,-7.81,-7.81,1024,39,5.97,311,"2023-01-27 12:00:00","Winter"
"Seoul","Clear",10000,-8.32,-8.32,-8.32,1024,38,5.77,312,"2023-01-27 15:00:00","Winter"
"Seoul","Clear",10000,-8.9,-8.9,-8.9,1024,38,4.92,304,"2023-01-27 18:00:00","Winter"
"Seoul","Clear",10000,-8.96,-8.96,-8.96,1023,34,3.51,309,"2023-01-27 21:00:00","Winter"
"Seoul","Clear",10000,-7.99,-7.99,-7.99,1023,31,1.6,7,"2023-01-28 00:00:00","Winter"
